plan_id,plan_name,quarter,measure,domain,weight,eligible_denominator,numerator,rate,measure_star
H1234-001,Horizon Value MA Plan (H1234-001),2021Q1,Breast Cancer Screening,Staying Healthy,1,5415,3380,62.41,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q2,Breast Cancer Screening,Staying Healthy,1,5311,3272,61.6,3
H1234-001,Horizon Value MA Plan (H1234-001),2021Q3,Breast Cancer Screening,Staying Healthy,1,5102,3330,65.27,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q4,Breast Cancer Screening,Staying Healthy,1,5295,3541,66.87,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q1,Breast Cancer Screening,Staying Healthy,1,5087,3273,64.35,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q2,Breast Cancer Screening,Staying Healthy,1,5376,3585,66.69,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q3,Breast Cancer Screening,Staying Healthy,1,5230,3668,70.14,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q4,Breast Cancer Screening,Staying Healthy,1,5208,3702,71.08,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q1,Breast Cancer Screening,Staying Healthy,1,5130,3749,73.07,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q2,Breast Cancer Screening,Staying Healthy,1,5430,3993,73.54,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q3,Breast Cancer Screening,Staying Healthy,1,5213,4042,77.53,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q4,Breast Cancer Screening,Staying Healthy,1,5170,4087,79.06,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q1,Colorectal Cancer Screening,Staying Healthy,1,4516,2598,57.52,3
H1234-001,Horizon Value MA Plan (H1234-001),2021Q2,Colorectal Cancer Screening,Staying Healthy,1,4518,2699,59.74,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q3,Colorectal Cancer Screening,Staying Healthy,1,4723,2869,60.75,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q4,Colorectal Cancer Screening,Staying Healthy,1,4736,2944,62.15,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q1,Colorectal Cancer Screening,Staying Healthy,1,4708,2994,63.58,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q2,Colorectal Cancer Screening,Staying Healthy,1,4540,3059,67.37,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q3,Colorectal Cancer Screening,Staying Healthy,1,4665,3052,65.42,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q4,Colorectal Cancer Screening,Staying Healthy,1,4649,3106,66.82,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q1,Colorectal Cancer Screening,Staying Healthy,1,4663,3170,67.99,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q2,Colorectal Cancer Screening,Staying Healthy,1,4754,3401,71.54,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q3,Colorectal Cancer Screening,Staying Healthy,1,4664,3446,73.87,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q4,Colorectal Cancer Screening,Staying Healthy,1,4727,3491,73.85,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q1,Annual Flu Vaccine,Staying Healthy,1,2158,1189,55.09,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q2,Annual Flu Vaccine,Staying Healthy,1,2185,1233,56.41,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q3,Annual Flu Vaccine,Staying Healthy,1,2193,1274,58.11,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q4,Annual Flu Vaccine,Staying Healthy,1,2199,1245,56.61,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q1,Annual Flu Vaccine,Staying Healthy,1,2125,1266,59.56,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q2,Annual Flu Vaccine,Staying Healthy,1,2118,1288,60.82,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q3,Annual Flu Vaccine,Staying Healthy,1,2203,1368,62.1,4
H1234-001,Horizon Value MA Plan (H1234-001),2022Q4,Annual Flu Vaccine,Staying Healthy,1,2135,1369,64.14,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q1,Annual Flu Vaccine,Staying Healthy,1,2065,1407,68.13,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q2,Annual Flu Vaccine,Staying Healthy,1,2074,1380,66.53,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q3,Annual Flu Vaccine,Staying Healthy,1,2088,1475,70.66,4
H1234-001,Horizon Value MA Plan (H1234-001),2023Q4,Annual Flu Vaccine,Staying Healthy,1,2180,1498,68.71,4
H1234-001,Horizon Value MA Plan (H1234-001),2021Q1,Monitoring Physical Activity,Staying Healthy,1,5092,2607,51.2,4
