measure,star_1_max,star_2_max,star_3_max,star_4_max,star_5_min,direction
Breast Cancer Screening,27.41,44.7,62.0,79.3,79.3,higher_better
Colorectal Cancer Screening,23.41,40.7,58.0,75.3,75.3,higher_better
Annual Flu Vaccine,20.41,37.7,55.0,72.3,72.3,higher_better
Monitoring Physical Activity,14.24,32.62,51.0,69.38,69.38,higher_better
Osteoporosis Mgmt in Women who had a Fracture,13.73,28.86,44.0,59.14,59.14,higher_better
Diabetes Care - Eye Exam,27.57,43.78,60.0,76.22,76.22,higher_better
Diabetes Care - Kidney Disease Monitoring,75.03,81.51,88.0,94.49,94.49,higher_better
Diabetes Care - Blood Sugar Controlled (<9%),37.73,52.86,68.0,83.14,83.14,higher_better
Controlling Blood Pressure,23.08,42.54,62.0,81.46,81.46,higher_better
Rheumatoid Arthritis Management,58.54,68.27,78.0,87.73,87.73,higher_better
Reducing the Risk of Falling,18.73,33.86,49.0,64.14,64.14,higher_better
Plan All-Cause Readmissions,24.96,19.23,13.5,7.77,7.77,lower_better
Statin Therapy - Cardiovascular Disease,45.05,58.03,71.0,83.97,83.97,higher_better
Statin Use in Persons with Diabetes (SUPD),46.22,58.11,70.0,81.89,81.89,higher_better
Getting Needed Care,59.54,69.27,79.0,88.73,88.73,higher_better
Getting Appointments & Care Quickly,52.38,63.19,74.0,84.81,84.81,higher_better
Customer Service,64.7,73.35,82.0,90.65,90.65,higher_better
Rating of Health Care Quality,60.54,70.27,80.0,89.73,89.73,higher_better
Rating of Health Plan,55.38,66.19,77.0,87.81,87.81,higher_better
Care Coordination,58.54,68.27,78.0,87.73,87.73,higher_better
Complaints about the Health Plan,1.26,0.91,0.55,0.19,0.19,lower_better
Members Choosing to Leave the Plan,28.05,21.03,14.0,6.97,6.97,lower_better
Plan Makes Timely Decisions about Appeals,65.54,75.27,85.0,94.73,94.73,higher_better
Reviewing Appeals Decisions,56.22,68.11,80.0,91.89,91.89,higher_better
Call Center - TTY/Interpreter Availability,66.54,76.27,86.0,95.73,95.73,higher_better
